Publish_Date,sentiment_score,sentiment_score_updated
2001-03-31,0.0,0.0
2001-06-30,-0.20000000298023224,0.3333333358168602
2001-09-30,1.900000013411045,1.2190476432442665
2001-12-31,1.900000013411045,0.6000000089406967
2002-03-31,1.2857142984867096,0.3333333432674408
2002-06-30,0.8000000193715096,0.9928571581840515
2002-09-30,1.8446969836950302,0.7666666805744171
2002-12-31,0.5500000193715096,0.46785715222358704
2003-03-31,0.30000001192092896,0.20000000298023224
2003-06-30,0.10000002384185791,0.28333333134651184
2003-09-30,0.29999999701976776,0.8583333492279053
2003-12-31,0.0,0.7928571552038193
2004-03-31,0.0,0.0
2004-06-30,0.0,-0.3333333283662796
2004-09-30,0.5,0.48571430146694183
2004-12-31,0.5,0.20000000298023224
2005-03-31,0.0,0.0
2005-06-30,0.6738095283508301,0.25
2005-09-30,0.0,0.20000000298023224
2005-12-31,-0.25,0.0
2006-03-31,0.40000002086162567,0.0
2006-06-30,0.25357141345739365,0.25
2006-09-30,0.800000011920929,0.0
2006-12-31,0.29999999701976776,0.45000000298023224
2007-03-31,-0.3888888955116272,-0.1666666716337204
2007-06-30,-1.0288889110088348,-0.4000000059604645
2007-09-30,0.875,1.0833333432674408
2007-12-31,1.0904761999845505,0.25833334028720856
2008-03-31,-0.7102272659540176,0.20000000298023224
2008-06-30,-0.6888889074325562,-0.23333333432674408
2008-09-30,1.5,1.1666666865348816
2008-12-31,-0.3946428745985031,0.783333346247673
2009-03-31,1.9119047299027443,1.467857152223587
2009-06-30,2.1333333551883698,1.3333333507180214
2009-09-30,2.968939434736967,2.250432938337326
2009-12-31,0.9500000029802322,2.2785714715719223
2010-03-31,-0.6002273038029671,0.7000000178813934
2010-06-30,2.0683333203196526,2.080555573105812
2010-09-30,0.6533333100378513,0.908333346247673
2010-12-31,-0.03333331644535065,1.1011904925107956
2011-03-31,0.6374999657273293,0.6666666716337204
2011-06-30,3.5195238292217255,1.9619048088788986
2011-09-30,1.1833333373069763,1.053571455180645
2011-12-31,3.899494953453541,-0.2321428507566452
2012-03-31,0.6569444686174393,0.7250000089406967
2012-06-30,2.9426586627960205,1.0095238238573074
2012-09-30,0.5490476218983531,0.34960319101810455
2012-12-31,1.6250000223517418,0.6777777895331383
2013-03-31,1.2291666604578495,0.6250000149011612
2013-06-30,2.9193253740668297,0.767857164144516
2013-09-30,1.0333333425223827,0.57738097012043
2013-12-31,2.6349999979138374,1.6416666954755783
2014-03-31,0.6499999985098839,1.245634950697422
2014-06-30,1.6683333553373814,0.967857152223587
2014-09-30,1.0,-0.05714285373687744
2014-12-31,2.874642953276634,0.7519480586051941
2015-03-31,0.29999998211860657,0.8682539835572243
2015-06-30,2.9678571820259094,1.5444555878639221
2015-09-30,1.6333333626389503,0.45000000298023224
2015-12-31,2.4083333387970924,1.273412723094225
2016-03-31,0.7571428343653679,0.32500000298023224
2016-06-30,0.8732142401859164,0.210317462682724
2016-09-30,-0.2095237858593464,0.4900793731212616
2016-12-31,0.878571443259716,0.4444444477558136
2017-03-31,0.3083333522081375,0.20000000298023224
2017-06-30,0.6458333153277636,0.8345959708094597
2017-09-30,0.45972224324941635,0.2281746044754982
